accX accY accZ
0.020920991897583008 0.0 0.057787954807281494
0.038490407168865204 0.0 0.05416613817214966
0.022813253104686737 0.0 0.03299355506896973
0.04971376806497574 0.0 0.04546797275543213
0.06749255955219269 0.0 0.05625009536743164
0.07888984680175781 0.0017154812812805176 0.032274842262268066
0.0512557178735733 0.005787670612335205 0.020202279090881348
0.021369874477386475 0.02021867036819458 0.0
0.04392530024051666 0.03587016463279724 0.0
0.05632618069648743 0.047922879457473755 0.0
0.03502567112445831 0.05788746476173401 0.0
0.016642309725284576 0.0584985613822937 0.0
0.011703550815582275 0.03726017475128174 0.0
0.02476709708571434 0.040856897830963135 0.0
0.0072304122149944305 0.05906420946121216 0.0
0.0 0.06350654363632202 0.0
0.0 0.04264110326766968 0.0
0.0 0.022863388061523438 0.0
0.0 0.011537224054336548 0.0
0.0 0.013064920902252197 0.0
0.0 0.012050539255142212 0.0022362470626831055
0.0 0.028467625379562378 0.0029784440994262695
0.0 0.02845504879951477 0.0
0.0 0.021962612867355347 0.0
0.010928936302661896 0.026950150728225708 0.005169391632080078
0.02296540141105652 0.08266538381576538 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.02183195948600769 0.0 0.02997124195098877
0.07673308253288269 0.02076500654220581 0.0321803092956543
0.0 0.0 0.029452741146087646
0.0 0.0 0.08031976222991943
0.0 0.02830374240875244 0.0
0.0 0.05882251262664795 0.0
0.012157648801803589 0.0 0.005545616149902344
0.05685168504714966 0.0 0.07250463962554932
0.0 0.09418368339538574 0.12667226791381836
0.0 0.03836393356323242 0.04334819316864014
0.0 0.0 0.0
0.0 0.0 0.0017840266227722168
0.0 0.005124211311340332 0.02451801300048828
0.0 0.0 0.0015925168991088867
0.0 0.026502132415771484 0.07130837440490723
0.0 0.0009740591049194336 0.0
0.0 0.2042616605758667 0.0
0.0 0.0 0.0
0.040822070091962814 0.0 0.031705379486083984
0.0 0.07132154703140259 0.0
0.0 0.11825597286224365 0.019151031970977783
0.0 0.03132450580596924 0.04343593120574951
0.06210155040025711 0.0 0.1290285587310791
0.036897383630275726 0.01263892650604248 0.031272053718566895
0.04208795726299286 0.006747007369995117 0.0
0.0 0.061664044857025146 0.0
0.0 0.06564390659332275 0.0
0.0 0.0094565749168396 0.0
0.0 0.0 0.0
0.02151060849428177 0.0 0.09146714210510254
0.0 0.0 0.1255091428756714
0.0 0.0 0.16743147373199463
0.0 0.004236400127410889 0.16847825050354004
0.0 0.026143819093704224 0.10748839378356934
